prefix,supplier name,supplier url,comment
,OpenCitations Corpus,http://opencitations.net,Prior to February 2018
010,Wikidata,https://www.wikidata.org,
020,Crossref,https://crossref.org,
030,DataCite,https://datacite.org,
040,arXiv,https://arxiv.org,
050,Europe PubMed Central,https://europepmc.org,
060,CiteSeerX,http://citeseerx.ist.psu.edu,
070,Japanese Science and Technology Agency,https://www.jst.go.jp/EN/,
0110,EXCITE Project,https://west.uni-koblenz.de/en/research/excite,
0120,Venice Scholar Index,https://dhlab.epfl.ch/page-127959-en.html,
0130,LOC-DB,https://locdb.bib.uni-mannheim.de,
0140,CitEcCyr,https://github.com/citeccyr/,
01110,Raspberry Pi 1,http://opencitations.net,within OpenCitations
01120,Raspberry Pi 2,http://opencitations.net,within OpenCitations
01130,Raspberry Pi 3,http://opencitations.net,within OpenCitations
01140,Raspberry Pi 4,http://opencitations.net,within OpenCitations
01150,Raspberry Pi 5,http://opencitations.net,within OpenCitations
01160,Raspberry Pi 6,http://opencitations.net,within OpenCitations
01170,Raspberry Pi 7,http://opencitations.net,within OpenCitations
01180,Raspberry Pi 8,http://opencitations.net,within OpenCitations
01190,Raspberry Pi 9,http://opencitations.net,within OpenCitations
01910,Raspberry Pi 10,http://opencitations.net,within OpenCitations
01210,Raspberry Pi 11,http://opencitations.net,within OpenCitations
01220,Raspberry Pi 12,http://opencitations.net,within OpenCitations
01230,Raspberry Pi 13,http://opencitations.net,within OpenCitations
01240,Raspberry Pi 14,http://opencitations.net,within OpenCitations
01250,Raspberry Pi 15,http://opencitations.net,within OpenCitations
01260,Raspberry Pi 16,http://opencitations.net,within OpenCitations
01270,Raspberry Pi 17,http://opencitations.net,within OpenCitations
01280,Raspberry Pi 18,http://opencitations.net,within OpenCitations
01290,Raspberry Pi 19,http://opencitations.net,within OpenCitations
01920,Raspberry Pi 20,http://opencitations.net,within OpenCitations
01310,Raspberry Pi 21,http://opencitations.net,within OpenCitations
01320,Raspberry Pi 22,http://opencitations.net,within OpenCitations
01330,Raspberry Pi 23,http://opencitations.net,within OpenCitations
01340,Raspberry Pi 24,http://opencitations.net,within OpenCitations
01350,Raspberry Pi 25,http://opencitations.net,within OpenCitations
01360,Raspberry Pi 26,http://opencitations.net,within OpenCitations
01370,Raspberry Pi 27,http://opencitations.net,within OpenCitations
01380,Raspberry Pi 28,http://opencitations.net,within OpenCitations
01390,Raspberry Pi 29,http://opencitations.net,within OpenCitations
01930,Raspberry Pi 30,http://opencitations.net,within OpenCitations
